Date,close,Open,High,Low,Vol.
"Jan 03, 2021",32958.9,"32,192.90",34755.9,"32,029.60",155.21K
"Jan 04, 2021",32022.6,"33,016.60",33587.5,"28,204.50",255.27K
"Jan 05, 2021",33991.5,"32,015.40",34414.7,"30,010.50",202.13K
"Jan 06, 2021",36793.2,"33,999.30",36934.8,"33,408.30",227.56K
"Jan 07, 2021",39460.2,"36,798.50",40340.9,"36,361.20",249.60K
"Jan 08, 2021",40599.3,"39,466.40",41921.7,"36,613.40",251.29K
"Jan 09, 2021",40151.9,"40,607.20",41363.5,"38,775.10",128.42K
"Jan 10, 2021",38192.2,"40,149.70",41362.4,"35,141.60",215.78K
"Jan 11, 2021",35544.3,"38,195.30",38217.2,"30,411.60",251.04K
"Jan 12, 2021",34076.1,"35,426.00",36598.7,"32,572.70",241.93K
"Jan 13, 2021",37382.2,"34,061.20",37764.6,"32,451.90",209.93K
"Jan 14, 2021",39175.7,"37,383.40",40054.3,"36,772.10",172.40K
"Jan 15, 2021",36845.8,"39,175.70",39715,"34,488.70",118.42K
"Jan 16, 2021",36019.5,"36,751.80",37931.7,"35,408.40",137.02K
"Jan 17, 2021",35839.6,"36,020.10",36801.3,"33,883.50",126.82K
"Jan 18, 2021",36613.2,"35,838.20",37436.8,"34,801.00",111.52K
"Jan 19, 2021",36002.9,"36,630.60",37821,"36,001.40",79.11K
"Jan 20, 2021",35476.3,"35,862.10",36384.4,"33,444.50",153.61K
"Jan 21, 2021",30842.1,"35,472.30",35591.1,"30,101.80",253.27K
"Jan 22, 2021",33000.5,"30,838.70",33821.2,"28,871.20",243.09K
"Jan 23, 2021",32088.9,"32,994.10",33441.4,"31,418.20",100.70K
"Jan 24, 2021",32241.3,"32,088.50",33034.8,"30,982.90",88.21K
"Jan 25, 2021",32252.3,"32,244.30",34854.3,"31,967.40",142.43K
"Jan 26, 2021",32502.1,"32,244.10",32917.7,"30,850.00",139.84K
"Jan 27, 2021",30404,"32,499.60",32545.4,"29,290.40",194.35K
"Jan 28, 2021",33374.8,"30,408.90",33790.8,"29,911.90",167.39K
"Jan 29, 2021",34301.8,"33,381.70",38546,"31,953.30",297.73K
"Jan 30, 2021",34283.1,"34,300.00",34920.9,"32,908.50",128.57K
"Jan 31, 2021",33108.1,"34,281.60",34348.3,"32,189.90",101.92K
"Feb 01, 2021",33515.7,"33,106.80",34685.6,"32,324.90",126.32K
"Feb 02, 2021",35485.2,"33,514.00",35976.1,"33,462.40",120.85K
"Feb 03, 2021",37646.8,"35,486.90",37646.8,"35,401.50",131.03K
"Feb 04, 2021",36982.1,"37,648.90",38707.9,"36,380.80",151.44K
"Feb 05, 2021",38297.6,"36,976.40",38303.6,"36,640.00",100.60K
"Feb 06, 2021",39256.6,"38,300.60",40939.7,"38,275.30",156.02K
"Feb 07, 2021",38852.9,"39,228.90",39691.7,"37,381.60",125.37K
"Feb 08, 2021",46395.7,"38,853.60",46596.4,"38,057.00",248.47K
"Feb 09, 2021",46508.6,"46,396.40",48143.5,"45,104.70",193.87K
"Feb 10, 2021",44836,"46,507.80",47295.3,"43,800.50",151.83K
"Feb 11, 2021",47990.7,"44,834.80",48622.1,"44,041.10",145.77K
"Feb 12, 2021",47371.7,"47,995.00",48927.4,"46,218.60",133.73K
"Feb 13, 2021",47168.7,"47,373.10",48097.3,"46,270.50",89.42K
"Feb 14, 2021",48643.4,"47,172.10",49695.1,"47,051.90",106.50K
"Feb 15, 2021",47936.3,"48,611.10",48936.5,"45,786.10",123.18K
"Feb 16, 2021",49169.7,"47,934.20",50515.8,"47,044.40",141.37K
"Feb 17, 2021",52079.2,"49,161.30",52577.7,"49,018.10",140.03K
"Feb 18, 2021",51582.2,"52,094.50",52524,"50,941.60",94.35K
"Feb 19, 2021",55906.6,"51,590.10",56238.5,"50,816.80",139.43K
"Feb 20, 2021",55923.7,"55,922.00",57523.8,"54,124.10",127.85K
"Feb 21, 2021",57433.8,"55,907.60",58335.1,"55,502.70",87.26K
"Feb 22, 2021",54111.8,"57,437.60",57480.8,"48,353.80",244.95K
"Feb 23, 2021",48911.2,"54,114.10",54115,"45,093.80",315.07K
"Feb 24, 2021",49697.5,"48,911.10",51311.8,"47,031.70",153.75K
"Feb 25, 2021",46928.5,"49,695.90",52013.8,"46,773.70",83.22K
"Feb 26, 2021",46345.6,"46,928.50",48413.9,"44,248.20",189.41K
"Feb 27, 2021",46136.7,"46,333.10",48335.1,"45,059.40",98.75K
"Feb 28, 2021",45164,"46,136.00",46582,"43,100.60",135.08K
"Mar 01, 2021",49595.5,"45,160.50",49774,"45,008.80",137.52K
"Mar 02, 2021",48424.2,"49,595.60",50191.9,"47,100.60",102.10K
"Mar 03, 2021",50395.1,"48,422.20",52567.9,"48,159.20",44.93K
"Mar 04, 2021",48428,"50,388.00",51757.7,"47,521.80",9.56K
"Mar 05, 2021",48792.5,"48,363.60",49429.4,"46,370.10",113.64K
"Mar 06, 2021",48855.6,"48,798.70",49191.8,"47,132.80",66.66K
"Mar 07, 2021",50982.3,"48,899.00",51434.1,"48,890.60",82.91K
"Mar 08, 2021",52311,"50,988.90",52384.9,"49,338.10",68.14K
"Mar 09, 2021",54879,"52,352.40",54880.6,"51,941.30",114.06K
"Mar 10, 2021",55851.9,"54,882.70",57328.7,"53,073.60",140.96K
"Mar 11, 2021",57799.5,"55,851.20",58135,"54,351.80",129.63K
"Mar 12, 2021",57265.1,"57,806.20",58052.3,"55,134.50",116.96K
"Mar 13, 2021",61195.3,"57,267.40",61795.8,"56,118.80",134.64K
"Mar 14, 2021",59113.7,"61,192.70",61673.7,"59,113.70",80.29K
"Mar 15, 2021",55791.3,"59,117.40",60565.9,"55,088.80",117.71K
"Mar 16, 2021",56889.7,"55,619.50",56889.7,"53,342.60",128.51K
"Mar 17, 2021",58913.5,"56,892.90",58933.2,"54,253.20",118.26K
"Mar 18, 2021",57656,"58,911.80",60088,"57,099.60",102.62K
"Mar 19, 2021",58088,"57,645.00",59448.3,"56,305.10",83.98K
"Mar 20, 2021",58093.4,"58,084.10",59882.1,"57,863.00",67.83K
"Mar 21, 2021",57383.8,"58,097.40",58583.8,"55,583.30",77.47K
"Mar 22, 2021",54158.3,"57,379.30",58379.9,"53,784.20",95.53K
"Mar 23, 2021",54452.5,"54,117.50",55813.8,"52,992.30",84.84K
"Mar 24, 2021",52325.4,"54,309.10",57169.4,"51,725.40",137.91K
"Mar 25, 2021",51322.3,"52,330.00",53175.4,"50,441.30",143.35K
"Mar 26, 2021",55036.1,"51,317.40",55074.1,"51,302.00",100.30K
"Mar 27, 2021",55862.9,"55,033.80",56531.1,"54,010.20",73.87K
"Mar 28, 2021",55765.2,"55,856.90",56504.2,"54,711.30",58.71K
"Mar 29, 2021",57616.2,"55,764.70",58392.6,"54,951.10",107.91K
"Mar 30, 2021",58771.3,"57,614.60",59366.9,"57,077.10",86.21K
"Mar 31, 2021",58763.7,"58,771.40",59795.6,"56,991.60",98.06K
"Apr 01, 2021",58718.3,"58,763.20",59406.5,"58,040.70",69.04K
"Apr 02, 2021",58977.3,"58,718.20",60134.9,"58,466.50",72.37K
"Apr 03, 2021",57059.9,"58,976.80",59770.5,"56,906.70",68.74K
"Apr 04, 2021",58199.9,"57,059.70",58464.8,"56,470.60",57.21K
"Apr 05, 2021",58993.4,"58,202.30",59205.1,"56,842.70",54.13K
"Apr 06, 2021",57996.3,"59,169.00",59487,"57,403.30",77.15K
"Apr 07, 2021",55948.7,"57,996.30",58627.7,"55,489.30",110.69K
"Apr 08, 2021",58077.4,"55,948.00",58136.7,"55,721.60",64.78K
"Apr 09, 2021",58118.7,"58,076.80",58890.9,"57,686.00",59.22K
"Apr 10, 2021",59748.4,"58,127.40",61229,"57,900.00",103.72K
"Apr 11, 2021",59978.7,"59,772.40",60667.1,"59,250.30",58.20K
"Apr 12, 2021",59863.8,"59,982.10",61259.9,"59,569.20",81.88K
"Apr 13, 2021",63540.9,"59,863.60",63659,"59,839.40",126.56K
"Apr 14, 2021",62980.4,"63,544.20",64778,"61,366.30",130.43K
"Apr 15, 2021",63216,"62,978.60",63729.1,"62,067.50",76.97K
"Apr 16, 2021",61379.7,"63,211.60",63518.5,"60,027.30",136.85K
"Apr 17, 2021",60041.9,"61,358.30",62509.1,"59,672.10",84.08K
"Apr 18, 2021",56207.1,"60,043.20",60362.1,"51,817.60",216.81K
"Apr 19, 2021",55646.1,"56,208.10",57517,"54,272.30",117.51K
"Apr 20, 2021",56483.2,"55,645.10",57054.9,"53,422.50",115.49K
"Apr 21, 2021",53820.2,"56,479.50",56764.4,"53,657.60",100.26K
"Apr 22, 2021",51729.5,"53,821.30",55408.4,"50,590.90",168.13K
"Apr 23, 2021",51143.6,"51,707.10",52099.9,"47,659.40",214.46K
"Apr 24, 2021",50088.9,"51,140.80",51183,"48,775.20",82.25K
"Apr 25, 2021",48963.6,"50,088.20",50532.4,"47,098.50",59.20K
"Apr 26, 2021",54020.5,"48,963.50",54320.9,"48,815.90",129.76K
"Apr 27, 2021",55036.5,"54,011.10",55427.8,"53,345.00",84.08K
"Apr 28, 2021",54841.4,"55,036.00",56419.9,"53,876.40",86.96K
"Apr 29, 2021",53560.8,"54,838.60",55173.7,"52,400.00",83.90K
"Apr 30, 2021",57720.3,"53,562.30",57925.6,"53,088.70",103.74K
"May 01, 2021",57807.1,"57,719.10",58449.4,"57,029.50",63.41K
"May 02, 2021",56603.8,"57,807.20",57868.4,"56,110.50",53.61K
"May 03, 2021",57169.8,"56,605.80",58925.1,"56,562.40",89.24K
"May 04, 2021",53741.5,"57,170.60",57201.3,"53,741.50",132.33K
"May 05, 2021",57441.3,"53,872.50",57936.4,"53,872.50",119.82K
"May 06, 2021",56405.4,"57,441.00",58364.9,"55,294.50",109.02K
"May 07, 2021",57337.2,"56,411.40",58639.3,"55,300.10",110.01K
"May 08, 2021",58840.1,"57,330.30",59471.1,"56,972.20",101.27K
"May 09, 2021",58238.3,"58,840.60",59227,"56,414.40",103.59K
"May 10, 2021",55848.9,"58,251.20",59523.9,"53,678.30",142.61K
"May 11, 2021",56695.7,"55,846.10",56871.1,"54,550.40",96.47K
"May 12, 2021",49384.2,"56,694.50",57938.5,"49,187.00",160.74K
"May 13, 2021",49704.6,"49,398.20",51337.3,"46,331.10",236.71K
"May 14, 2021",49839.8,"49,704.90",51459.2,"48,874.00",118.84K
"May 15, 2021",46708.8,"49,839.10",50640.9,"46,650.20",131.91K
"May 16, 2021",46426.4,"46,729.30",49764.3,"43,920.80",180.07K
"May 17, 2021",43541.3,"46,424.20",46545.4,"42,201.50",274.76K
"May 18, 2021",42897.3,"43,538.50",45770.9,"42,293.90",154.96K
"May 19, 2021",36720.5,"42,898.30",43516.6,"30,261.70",607.10K
"May 20, 2021",40717.2,"36,706.80",42425.9,"35,010.40",269.75K
"May 21, 2021",37297.4,"40,611.20",42108.3,"33,592.30",315.50K
"May 22, 2021",37448.3,"37,291.00",38776,"35,314.90",185.83K
"May 23, 2021",34679.7,"37,446.80",38248.7,"31,192.40",325.73K
