Time, I, Bit coin,Price
345, 0.053649, 111.837845, 0.542138
346, 0.047587, 126.085785, 0.542137
347, 0.047516, 126.272049, 0.542137
348, 0.050429, 118.978783, 0.542137
349, 0.045025, 133.260025, 0.542138
350, 0.049215, 121.913712, 0.542138
351, 0.044576, 134.600266, 0.542137
352, 0.045459, 131.986298, 0.542137
353, 0.046062, 130.260086, 0.542166
354, 0.051460, 116.596207, 0.542166
355, 0.038769, 154.763565, 0.542166
356, 0.040402, 148.506653, 0.542166
357, 0.044336, 135.329010, 0.542166
358, 0.042388, 141.551041, 0.542166
359, 0.042301, 141.839722, 0.542158
360, 0.046457, 129.150803, 0.542158
361, 0.030933, 193.966980, 0.542158
362, 0.035217, 170.374451, 0.542158
363, 0.032011, 187.436508, 0.542158
364, 0.027356, 219.332962, 0.542158
365, 0.033931, 176.831268, 0.542158
366, 0.025208, 238.019470, 0.542191
367, 0.035400, 169.490784, 0.542191
368, 0.031577, 190.009979, 0.542191
369, 0.028471, 210.740372, 0.542191
370, 0.027437, 218.684357, 0.542191
371, 0.024640, 243.504761, 0.542191
372, 0.028143, 213.199142, 0.542191
373, 0.030769, 195.001740, 0.542191
374, 0.028764, 208.592926, 0.542191
375, 0.019860, 302.121246, 0.542191
376, 0.028462, 210.804291, 0.542191
377, 0.022201, 270.258392, 0.542191
378, 0.023293, 257.593628, 0.542191
379, 0.020187, 297.218170, 0.542191
380, 0.021618, 277.549072, 0.542191
381, 0.021655, 277.074524, 0.542191
382, 0.019513, 307.494629, 0.542191
383, 0.017240, 348.030609, 0.542191
384, 0.014179, 423.151978, 0.542191
385, 0.015472, 387.802582, 0.542157
386, 0.011189, 536.233887, 0.542157
387, 0.012490, 480.386047, 0.542157
388, 0.010916, 549.659912, 0.542157
389, 0.010611, 565.466492, 0.542157
390, 0.012835, 467.474365, 0.542157
391, 0.007900, 759.493347, 0.542157
392, 0.008455, 709.641296, 0.542157
393, 0.004793, 1251.899780, 0.542157
394, 0.008350, 718.552856, 0.542157
395, 0.003033, 1977.984985, 0.542157
396, 0.005274, 1137.735474, 0.542157
397, 0.002393, 2507.591064, 0.542157
398, 0.002413, 2486.541748, 0.542157
399, 0.000268, 22360.787109, 0.542157
400, 0.000000, 0.000000, 0.542157
401, 0.000000, 0.000000, 0.542157
402, 0.000000, 0.000000, 0.542157
403, 0.000000, 0.000000, 0.542157
404, 0.000000, 0.000000, 0.542157
405, 0.000000, 0.000000, 0.542157
406, 0.000000, 0.000000, 0.542157
407, 0.000000, 0.000000, 0.542157
408, 0.000000, 0.000000, 0.542157
409, 0.000000, 0.000000, 0.542157
410, 0.000000, 0.000000, 0.542157
411, 0.000000, 0.000000, 0.542157
412, 0.000000, 0.000000, 0.542157
413, 0.000000, 0.000000, 0.542157
414, 0.000000, 0.000000, 0.542157
415, 0.000000, 0.000000, 0.542157
